ECHG34,ECHUNGA C F S
EDI20,EDINBURGH S E S
EDIL24,EDILLILIE C F S
EDISQRV,EASTERN DISTRICTS C F S
EDNH00,EDEN HILLS C F S
EDNH14,EDEN HILLS C F S
EDNH24P,EDEN HILLS C F S
EDNH28,EDEN HILLS HAZ MAT
EDNHPUMP19,EDEN HILLS C F S
EDNV34,EDEN VALLEY C F S
EDTH24,EDITHBURGH C F S
EEYG36,CLEVE C F S
EEYG42,CLEVE C F S
EEYGC1,CLEVE C F S
ELLG36,ELLISTON C F S
ELLGC1,ELLISTON C F S
ELLN14,ELLISTON C F S
ELLN34,ELLISTON C F S
ELZ331,ELIZABETH THREE THREE ONE
ELZ332,ELIZABETH THREE THREE TWO
ELZ339,ELIZABETH M F S
ENF20,ENFIELD S E S
ERV071,EMERGENCY RESPONSE VESSEL GALLENTRY
ETRG36,NORTON SUMMIT / ASHTON C F S
ETRGC1,NORTON SUMMIT / ASHTON C F S
ETRGC2,NORTON SUMMIT / ASHTON C F S
ETTR34,ETTRICK C F S
EUDN19,EUDUNDA C F S
EUDN34,EUDUNDA C F S
FARR24,FARRELL FLAT C F S
FARW34,FAR WEST C F S
FIEL34,FIELD C F S
FLNG36,STIRLING NORTH C F S
FLNG42,STIRLING NORTH C F S
FLNGC1,STIRLING NORTH C F S
FORR34,FORRESTON C F S
FRAN34,FRANCES C F S
FREE34,FREELING C F S
FREEQRV,FREELING C F S
FURN34,FURNER C F S
FURNQRV,FURNER C F S
GALG24,GALGA C F S
GAW359,GAWLER THREE FIVE NINE
GGV311,GOLDEN GROVE THREE ONE ONE
GLAD34,GLADSTONE C F S
GLBGC1,SADDLEWORTH C F S
GLBGC2,SADDLEWORTH C F S
GLDM14,GLENDAMBO C F S
GLEN34,GLENCOE C F S
GLO441,GLEN OSMOND FOUR FOUR ONE
GLO449,GLEN OSMOND FOUR FOUR NINE
GLOS34,GLOSSOP C F S
GLWA19,GOOLWA C F S
GLWA34,GOOLWA C F S
GLY221,GLINDE TWO TWO ONE
GRGT24,GEORGETOWN C F S
GRHL14,GREENHILL C F S
GRHL34,GREENHILL C F S
GRNK14,GREENOCK C F S
GRNK34,GREENOCK C F S
GRNM34,GERANIUM C F S
GRNP24,GREENPATCH C F S
GRNW34,GREENWAYS C F S
GULN34,GULNARE C F S
